    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1         W1->P2
              0    1.19251e+07              0              0    1.67624e-32
              1    5.48725e+07              0    1.05897e+12    3.62743e-30
              2    1.70606e+08              0    4.11234e+12    2.26565e-28
              3     4.0943e+08              0    1.01153e+13    8.61045e-27
              4    8.67593e+08              0    1.97669e+13    2.30323e-25
              5    1.65878e+09              0    3.45458e+13    4.88273e-24
              6    2.95167e+09              0    5.60723e+13     8.6348e-23
              7    4.97354e+09              0     8.6398e+13    1.32023e-21
              8    8.01042e+09              0    1.28148e+14    1.79349e-20
              9    1.24544e+10              0    1.84092e+14    2.20105e-19
             10    1.87546e+10              0    2.58255e+14    2.48126e-18
             11    2.75171e+10              0      3.547e+14    2.59384e-17
             12    3.94402e+10              0    4.78858e+14     2.5388e-16
             13    5.53898e+10              0    6.36837e+14    2.34276e-15
             14    7.64088e+10              0    8.35773e+14     2.0498e-14
             15    1.03708e+11              0    1.08429e+15    1.70926e-13
             16    1.38756e+11              0      1.392e+15    1.36363e-12
             17    1.83214e+11              0    1.77059e+15    1.04478e-11
             18    2.39058e+11              0    2.23313e+15    7.71005e-11
             19    3.08534e+11              0    2.79495e+15    5.49516e-10
             20    3.94223e+11              0    3.47366e+15    3.79155e-09
             21    4.99094e+11              0    4.28915e+15     2.5377e-08
             22    6.26471e+11              0    5.26457e+15    1.65073e-07
             23    7.80166e+11              0     6.4258e+15    1.04525e-06
             24    9.64418e+11              0    7.80265e+15    6.45244e-06
             25      1.184e+12              0    9.42867e+15    3.88839e-05
             26    1.44426e+12              0    1.13418e+16    0.000229023
             27    1.75109e+12              0    1.35848e+16      0.0013199
             28    2.11113e+12              0    1.62058e+16     0.00745046
             29     2.5316e+12              0    1.92589e+16      0.0412304
             30    3.02057e+12              0    2.28044e+16       0.223876
             31    3.58686e+12              0      2.691e+16        1.19372
             32    4.24014e+12              0    3.16512e+16        6.25478
             33    4.99105e+12              0    3.71118e+16        32.2276
             34    5.85112e+12              0    4.33855e+16        163.382
             35    6.83303e+12              0    5.05756e+16        815.198
             36    7.95045e+12              0    5.87972e+16        3999.04
             37     9.2183e+12              0    6.81771e+16        19140.5
             38    1.06527e+13              0    7.88555e+16        86318.8
             39    1.22711e+13              0    9.09875e+16         335712
             40    1.40923e+13              0    1.04743e+17    1.05225e+06
             41    1.61366e+13              0     1.2031e+17    2.70885e+06
             42    1.84258e+13              0    1.37893e+17    5.97026e+06
             43    2.09834e+13              0    1.57719e+17    1.16805e+07
             44    2.38345e+13              0    1.80034e+17    2.08546e+07
             45    2.70061e+13              0    2.05109e+17    3.46744e+07
             46     3.0527e+13              0     2.3324e+17    5.44692e+07
             47    3.44281e+13              0    2.64748e+17    8.16872e+07
             48    3.87421e+13              0    2.99986e+17     1.1786e+08
             49    4.35042e+13              0    3.39336e+17    1.64576e+08
             50    4.87516e+13              0    3.83215e+17    2.23458e+08
             51     5.4524e+13              0    4.32075e+17    2.96148e+08
             52    6.08635e+13              0    4.86407e+17    3.84275e+08
             53     6.7815e+13              0    5.46744e+17     4.8944e+08
             54    7.54257e+13              0    6.09819e+17    6.13193e+08
             55    8.37461e+13              0    6.63662e+17    7.57024e+08
             56    9.28291e+13              0      7.054e+17    9.22354e+08
             57    1.02731e+14              0    7.91073e+17    1.11052e+09
             58    1.13511e+14              0    8.21914e+17    1.32278e+09
             59    1.25232e+14              0    9.17322e+17    1.56028e+09
             60     1.3796e+14              0    9.45183e+17    1.82409e+09
             61    1.51765e+14              0    1.00258e+18    2.11516e+09
             62    1.66719e+14              0    1.06343e+18    2.43436e+09
             63    1.82901e+14              0    1.14772e+18    2.78245e+09
             64    2.00391e+14              0    1.18363e+18     3.1601e+09
             65    2.19274e+14              0    1.19926e+18    3.56788e+09
             66    2.39639e+14              0    1.33632e+18    4.00626e+09
             67    2.61582e+14              0    1.27527e+18    4.47564e+09
             68    2.85199e+14              0    1.31926e+18    4.97632e+09
             69    3.10594e+14              0    1.37157e+18    5.50851e+09
             70    3.37875e+14              0    1.36882e+18    6.07238e+09
             71    3.67155e+14              0    1.43073e+18    6.66799e+09
             72    3.98552e+14              0    1.42179e+18    7.29534e+09
             73     4.3219e+14              0    1.47361e+18    7.95438e+09
             74    4.68198e+14              0    1.49161e+18    8.64499e+09
             75     5.0671e+14              0    1.47281e+18      9.367e+09
             76    5.47867e+14              0     1.5879e+18    1.01202e+10
             77    5.91816e+14              0    1.51011e+18    1.09043e+10
             78     6.3871e+14              0    1.52992e+18    1.17189e+10
             79    6.88708e+14              0    1.59038e+18    1.25638e+10
             80    7.41976e+14              0    1.55166e+18    1.34385e+10
             81    7.98687e+14              0    1.58776e+18    1.43427e+10
             82    8.59021e+14              0    1.58679e+18    1.52758e+10
             83    9.23165e+14              0    1.60603e+18    1.62375e+10
             84    9.91314e+14              0     1.5812e+18    1.72271e+10
             85    1.06367e+15              0    1.58554e+18    1.82442e+10
             86    1.14044e+15              0    1.61792e+18    1.92883e+10
             87    1.22185e+15              0    1.55804e+18    2.03587e+10
             88    1.30811e+15              0    1.58985e+18     2.1455e+10
             89    1.39948e+15              0    1.58531e+18    2.25765e+10
             90    1.49618e+15              0    1.55658e+18    2.37227e+10
             91    1.59847e+15              0    1.56443e+18     2.4893e+10
             92    1.70662e+15              0    1.55751e+18    2.60868e+10
             93    1.82089e+15              0    1.57176e+18    2.73034e+10
             94    1.94157e+15              0    1.53031e+18    2.85424e+10
             95    2.06894e+15              0    1.53564e+18     2.9803e+10
             96    2.20331e+15              0    1.54804e+18    3.10847e+10
             97    2.34499e+15              0    1.49315e+18    3.23869e+10
             98    2.49429e+15              0    1.52224e+18     3.3709e+10
             99    2.65156e+15              0    1.51022e+18    3.50503e+10
            100    2.81714e+15              0     1.4768e+18    3.64104e+10
    E, kcal/mol    D, mol/kcal         W2->W1         W2->P1         W2->P2
              0    1.19251e+07              0              0    3.85998e-32
              1    5.48725e+07              0    1.05897e+12    2.01426e-30
              2    1.70606e+08              0    4.11234e+12    4.26869e-29
              3     4.0943e+08              0    1.01153e+13    6.36875e-28
              4    8.67593e+08              0    1.97669e+13    7.33914e-27
              5    1.65878e+09              0    3.45458e+13    7.15781e-26
              6    2.95167e+09              0    5.60723e+13    6.12006e-25
              7    4.97354e+09              0     8.6398e+13    4.70577e-24
              8    8.01042e+09              0    1.28148e+14     3.3201e-23
              9    1.24544e+10              0    1.84092e+14    2.17429e-22
             10    1.87546e+10              0    2.58255e+14    1.33866e-21
             11    2.75171e+10              0      3.547e+14    7.79869e-21
             12    3.94402e+10              0    4.78858e+14    4.33041e-20
             13    5.53898e+10              0    6.36837e+14    2.30328e-19
             14    7.64088e+10              0    8.35773e+14    1.17831e-18
             15    1.03708e+11              0    1.08429e+15    5.81992e-18
             16    1.38756e+11              0      1.392e+15    2.78298e-17
             17    1.83214e+11              0    1.77059e+15      1.292e-16
